bbl,facdomain,facgroup,facsubgrp,factype,facname,overagency,address,id
3005250001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,P.S./I.S. 27 AGNES Y. HUMPHREY,NYC Department of Youth and Community Development,27 HUNTINGTON STREET,22677
3005250001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,PS 27 AGNES Y. HUMPHREY,NYC Department of Youth and Community Development,27 HUNTINGTON STREET,24270
3005300013,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,COURTHOUSE,REDHOOK COMMUNITY JUSTICE CTR,NYC Office of Court Administration,77-85 VERONA STREET,25162
3005300013,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",JUSTICE AND CORRECTIONS,COURTHOUSES AND JUDICIAL,COURTHOUSE,RED HOOK COMMUNITY JUSTICE CENTER,NYS Unified Court System,88 VISITATION PLACE,25109
3005380001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,JOSEPH MICCIO CENTER,NYC Department of Education,110 WEST 9 STREET,15736
3005380001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,NYCHA-RED HOOK EAST,NYC Department of Education,167 BUSH STREET,20368
3005650001,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,FOOD FIRST,Non-public,165 CONOVER STREET,11224
3005650001,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,"FOOD FIRST, INC.",Non-public,165 CONOVER STREET,11526
3005800016,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY EDUCATION PROGRAM,BUMBLE BEES R US 2,NYC Department of Education,76 LORRAINE STREET,5025
3005800016,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY EDUCATION PROGRAM,BUBBLE BEE DAY CARE,NYC Department of Education,76 LORRAINE STREET,4990
3006060005,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,SCHOOL BUS DEPOT,"THIRD AVENUE TRANSIT, INC",NYC Department of Education,17 VAN DYKE STREET,30163
3006060005,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,BUS DEPOTS AND TERMINALS,SCHOOL BUS DEPOT,JOFAZ TRANSPORTATION INC.,NYC Department of Education,17 VAN DYKE STREET,15665
3006070001,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,COMPOSTING,RED HOOK COMMUNITY FARM COMPOST FACILITY,NYS Department of Environmental Conservation,103 OTSEGO STREET,25108
3006070001,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE PROCESSING,COMPOSTING,ADDED VALUE,NYS Department of Environmental Conservation,103 OTSEGO STREET,1332
3006250002,CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,ASPHALT PLANT,HAMILTON AVE. ASPHALT PLANT,NYC Department of Transportation,,13128
3006250002,CORE INFRASTRUCTURE AND TRANSPORTATION,MATERIAL SUPPLIES AND MARKETS,MATERIAL SUPPLIES,ASPHALT PLANT,RRM - ASPHALT PLANT,NYC Department of Transportation,488 HAMILTON AVENUE,25827
3006340034,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,HELLENIC CLASSICAL CHARTER SCHOOL,NYC Department of Education,646 5 AVENUE,13674
3006340034,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,HELLENIC CLASSICAL CS -STATEN ISLAND,NYC Department of Education,646 5 AVENUE,13677
3006670001,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",JUSTICE AND CORRECTIONS,DETENTION AND CORRECTIONAL,DETENTION CENTER,MDC BROOKLYN,Federal Bureau of Prisons,80 29 STREET,18025
3006670001,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",JUSTICE AND CORRECTIONS,DETENTION AND CORRECTIONAL,DETENTION CENTER,RRM NEW YORK,Federal Bureau of Prisons,100 29 STREET,25840
3007010001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,P.S. 24 P.S. 24,NYC Department of Youth and Community Development,427 38 STREET,22081
3007010001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,P.S. 24,NYC Department of Youth and Community Development,427 38 STREET,22077
3007050057,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,THE RESOURCE COUNSELING CENTER OP,NYS Office of Alcoholism and Substance Abuse Services,449 39 STREET,29976
3007050057,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,CHRISTOPHER'S REASON OP,NYS Office of Alcoholism and Substance Abuse Services,449 39 STREET,6446
3007130020,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,I.S. 136 CHARLES O. DEWEY,NYC Department of Education,4004 4 AVENUE,14423
3007130020,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,SUNSET PARK PREP,NYC Department of Education,4004 4 AVENUE,28810
3007240001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,NYPD OFFICES,NYC Police Department,,93
3007240001,ADMINISTRATION OF GOVERNMENT,"OFFICES, TRAINING, AND TESTING",CITY GOVERNMENT OFFICES,AGENCY OFFICE,NYPD OFFICES,NYC Brooklyn Community Board 7,,20287
3007250200,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,FORMER NYPD HARBOR CHARLIE,NYC Department of Small Business Services,5100 1 AVENUE,11685
3007250200,ADMINISTRATION OF GOVERNMENT,OTHER PROPERTY,MISCELLANEOUS USE,NO USE,BUSH TERMINAL PARK,NYC Department of Small Business Services,,5059
3007250200,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,DSNY GARAGE,BKS07G GARAGE,NYC Department of Sanitation,5100 1 AVENUE,3455
3007250200,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,SOLID WASTE TRANSFER AND CARTING,DSNY GARAGE,BKS10G GARAGE,NYC Department of Sanitation,5100 1 AVENUE,3456
3007370014,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,BAY RIDGE CHLD CARE CENTER,NYC Administration for Childrens Services,314 44 STREET,2813
3007370014,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,COLONY SOUTH BROOKLYN HOUSES INC.,NYC Department of Health and Mental Hygiene,314 44 STREET,8168
3007720014,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,A & R TOWING & RECOVERY INC.,NYC Department of Consumer Affairs,218 48 STREET,1045
3007720014,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,ALERT TOWING & COLLISION INC.,NYC Department of Consumer Affairs,218 48 STREET,1645
3007830001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,ST. ANDREWS COMMUNITY DCC,NYC Administration for Childrens Services,4917 FOURTH AVENUE,27910
3007830001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,FAMILY HEALTH CENTERS AT NYU LANGONE,NYC Department of Health and Mental Hygiene,4917 FOURTH AVENUE,11061
3007840010,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HEALTH FACILITY,SUNSET PARK HEALTH COUNCIL INC MEDICAL CASE MANAGEMENT,NYC Department of Health and Mental Hygiene,514 49 STREET,28802
3007840010,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HEALTH FACILITY,WYCKOFF HEIGHTS MEDICAL CENTER MEDICAL CASE MANAGEMENT,NYC Department of Health and Mental Hygiene,514 49 STREET,32586
3007937503,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,SUNSET PARK HEALTH COUNCIL INC EARLY INTERVENTION SERVICES: ROUTINE TESTING IN CLINICAL SETTINGS,NYC Department of Health and Mental Hygiene,5008 7 AVENUE,28797
3007937503,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,SUNSET PARK HEALTH COUNCIL INC CHECK HEP B [574],NYC Department of Health and Mental Hygiene,5008 7 AVENUE,28779
3008280001,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL,CALVARY HOSPITAL,NYS Department of Health,150 55 STREET,5254
3008280001,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL,NYU LANGONE HOSPITAL-BROOKLYN,NYS Department of Health,150 55 STREET,20524
3008290055,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,FINEST AUTOMOTIVE RECOVERY INC,NYC Department of Consumer Affairs,249 56 STREET,11290
3008290055,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,56 ST AUTO REPAIR INC,NYC Department of Consumer Affairs,249 56 STREET,857
3008390010,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,YOUNG RISERS INFANT-TODDLER PROGRAM,NYC Department of Health and Mental Hygiene,402 56 STREET,32988
3008390010,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,YOUNG RISERS INFANT-TODDLER PROGRAM,NYC Department of Health and Mental Hygiene,5601 4 AVENUE,32989
3008490001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,BUMBLE BEES R US 8,NYC Administration for Childrens Services,5721 6 AVENUE,5028
3008490001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"BUMBLEBEES R'US, INC.",NYC Department of Health and Mental Hygiene,5721 6 AVENUE,4972
3008507503,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,"HUAQIAO YIHU INSTITUTE, INC.",NYC Department of Education,763 58 STREET,14260
3008507503,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,"763 TRAINING CENTER, INC.",NYC Department of Education,763 58 STREET,945
3008620012,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - PUBLIC,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,NYC Department of Education,330 59 STREET,22387
3008620012,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - PUBLIC,P.S. 503: THE SCHOOL OF DISCOVERY,NYC Department of Education,330 59 STREET,22385
3008640001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,OUR LADY OF PERPETUAL HELP,NYC Department of Education,526 59 STREET,21008
3008640001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,MING YUAN SUMMER DAY CAMP,NYC Department of Education,544 59 STREET,18414
3008800001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,NYC Department of Education,330 18 STREET,19503
3008800001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,J.H.S. 088 PETER ROUGET,NYC Department of Education,544 7 AVENUE,15133
3008800001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,LEARNING THROUGH AN EXPANDED ARTS PROGRAM INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,544 7 AVENUE,16547
3008800001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,NIA COMMUNITY SERVICES NETWORK INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,330 18 STREET,19866
3009227502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"LIL GENIES CHILDCARE CENTER, INC.",NYC Department of Health and Mental Hygiene,762 41 STREET,16771
3009227502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,LIL GENIES CHILDCARE CENTER INC,NYC Department of Health and Mental Hygiene,762 41 STREET,16770
3009470054,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,PARK SLOPE NORTH /HELEN OWEN CAREY CHILD DEVELOPMENT CENTER,NYC Department of Health and Mental Hygiene,71 LINCOLN PLACE,23108
3009470054,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,HELEN OWEN CAREY CDC,NYC Administration for Childrens Services,71 LINCOLN PLACE,13666
3009500024,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,SPORTS AND ARTS IN SCHOOL FOUNDATION INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,180 6 AVENUE,27554
3009500024,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,IMANI HOUSE INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,180 SIXTH AVENUE,14604
3009800008,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,"MULTI-DISCIPL, PERF & NON-PERF","J. MANDLE PERFORMANCE, INC.",NYC Department of Cultural Affairs,232 THIRD STREET,15115
3009800008,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,"MULTI-DISCIPL, PERF & NON-PERF","ARCHIPELAGO BOOKS, INC.",NYC Department of Cultural Affairs,232 THIRD STREET,2152
3009800095,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,BROOKLYN PREP,NYC Department of Youth and Community Development,257 6 STREET,4816
3009800095,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,H.S. 561 WILLIAMSBURG PREPARAT,NYC Department of Youth and Community Development,257 6 STREET,13089
3009810111,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,KIM'S KIDS SUMMER CAMP,NYC Department of Health and Mental Hygiene,350 5 AVENUE,15960
3009810111,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,CAMP HALF BLOOD,NYC Department of Health and Mental Hygiene,350 5 AVENUE,5370
3009990046,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,PARK SLOPE DAY CAMP #1,NYC Department of Health and Mental Hygiene,339 8 STREET,23102
3009990046,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,BEANSPROUTS DAY CAMP,NYC Department of Health and Mental Hygiene,339 8 STREET,2940
3010140051,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,LOUIE TOWING INC.,NYC Department of Consumer Affairs,490 3 AVENUE,17117
3010140051,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,BALIK AUTOMOTIVE INC,NYC Department of Consumer Affairs,490 3 AVENUE,2649
3010477502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"PARK SLOPE SCHOOLHOUSE CHILD CARE CENTER , INC. INFANT/TODDLER",NYC Department of Health and Mental Hygiene,556 5 AVENUE,23111
3010477502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"PARK SLOPE SCHOOLHOUSE CHILD CARE CENTER, INC.",NYC Department of Health and Mental Hygiene,556 5 AVENUE,23112
3010550047,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,BRIGHT BEES DAYCARE INC,NYC Department of Health and Mental Hygiene,335 PROSPECT AVENUE,3935
3010550047,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,BRIGHT BEES DAY CARE CENTER INC.,NYC Department of Health and Mental Hygiene,335 PROSPECT AVENUE,3934
3010750005,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,BETH ELOHIM SUMMER DAY CAMP,NYC Department of Health and Mental Hygiene,274 GARFIELD PLACE,3224
3010750005,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,BETH ELOHIM MOVIN ON CAMP,NYC Department of Health and Mental Hygiene,169 8 AVENUE,3223
3010790040,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,CHAI TOTS,NYC Department of Health and Mental Hygiene,70 PROSPECT PARK WEST,5988
3010790040,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,CHAI TOTS PRESCHOOL(TODDLERS),NYC Department of Health and Mental Hygiene,70 PROSPECT PARK WEST,5994
3010820001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,MILLENNIUM BROOKLYN HS,NYC Department of Education,237 7 AVENUE,18393
3010820001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,SECONDARY SCHOOL FOR JOURNALISM,NYC Department of Education,237 7 AVENUE,26497
3010820001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,JOHN JAY SCHOOL FOR LAW,NYC Department of Education,237 7 AVENUE,15691
3010830038,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,"MULTI-DISCIPL, PERF & NON-PERF",NATURALLY OCCURRING CULTURAL DISTRICTS NY,NYC Department of Cultural Affairs,88 PROSPECT PARK WEST,19219
3010830038,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,"MULTI-DISCIPL, PERF & NON-PERF","ARTS & DEMOCRACY, INC.",NYC Department of Cultural Affairs,88 PROSPECT PARK WEST,2272
3011170001,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,PROSPECT PARK,"The New York State Office of Parks, Recreation and Historic Preservation",,24140
3011170001,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,BOATHOUSE ON THE LULLWATER OF THE LAKE IN PROSPECT PARK,"The New York State Office of Parks, Recreation and Historic Preservation",,3639
3011170001,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,LITCHFIELD VILLA,"The New York State Office of Parks, Recreation and Historic Preservation",,16853
3011170001,"PARKS, GARDENS, AND HISTORICAL SITES",HISTORICAL SITES,HISTORICAL SITES,STATE HISTORIC PLACE,GRECIAN SHELTER,"The New York State Office of Parks, Recreation and Historic Preservation",,12937
3011420060,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,LITERATURE,"ETHER SEA PROJECTS, INC.",NYC Department of Cultural Affairs,925 BERGEN STREET,10855
3011420060,LIBRARIES AND CULTURAL PROGRAMS,CULTURAL INSTITUTIONS,OTHER CULTURAL INSTITUTIONS,LITERATURE,"BELLADONNA SERIES, INC.",NYC Department of Cultural Affairs,925 BERGEN ST,3064
3011450026,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,PLAY STUDY WIN INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,80 UNDERHILL AVENUE,23558
3011450026,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,NEW YORK JUNIOR TENNIS LEAGUE INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,80 UNDERHILL AVENUE,19693
3011490018,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HEALTH FACILITY,INTERFAITH MEDICAL CENTER EVIDENCE-BASED INTERVENTIONS IN CLINICAL SETTINGS,NYC Department of Health and Mental Hygiene,880 BERGEN STREET,14793
3011490018,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HEALTH FACILITY,INTERFAITH MEDICAL CENTER MEDICAL CASE MANAGEMENT,NYC Department of Health and Mental Hygiene,880 BERGEN STREET,14798
3011670018,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,SPORTS AND ARTS IN SCHOOL FOUNDATION INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,750 CLASSON AVENUE,27592
3011670018,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,COMMUNITY COUNSELING AND MEDIATION SERVICES INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,750 CLASSON AVENUE,8315
3011787501,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,PROSPECT KIDS ACADEMY #2,NYC Department of Health and Mental Hygiene,532 ST JOHNS PLACE,24123
3011787501,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,WORTSPIELE INC.,NYC Department of Health and Mental Hygiene,807 CLASSON AVENUE,32557
3011787502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"BUMBLEBEES- R- US, INC.",NYC Department of Health and Mental Hygiene,823 CLASSON AVENUE,4943
3011787502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,BUMBLEBEES -R-US INC.,NYC Department of Health and Mental Hygiene,823 CLASSON AVENUE,5030
3011800025,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,CHAI TOTS PRESCHOOL OF PROSPECT HEIGHTS,NYC Department of Health and Mental Hygiene,852 CLASSON AVENUE,5991
3011800025,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,CHAI TOTS PRESCHOOL OF PROSPECT HEIGHTS ( I/T),NYC Department of Health and Mental Hygiene,852 CLASSON AVENUE,5992
3011870001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,NYC Department of Education,883 CLASSON AVENUE,29634
3011870001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,BROOKLYN SCHOOL FOR MUSIC & THEATRE,NYC Department of Education,883 CLASSON AVENUE,4868
3011870001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,NYC Department of Education,883 CLASSON AVENUE,4514
3011870001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,NYC Department of Education,883 CLASSON AVENUE,14844
